creator,version,href,ns1:text,ns1:time,lat,lon,ns1:ele,ns1:time2,ns1:name,ns1:sym
GPSMAP 64s,1.1,http://www.garmin.com,Garmin International,2020-01-01T04:15:24Z,30.816861,68.067283,1559.95813,2020-01-01T04:15:24Z,1,"Flag, Blue"
GPSMAP 64s,1.1,http://www.garmin.com,Garmin International,2020-01-01T04:15:24Z,30.816989,68.067131,1561.135132,2020-01-01T04:16:17Z,2,"Flag, Blue"
GPSMAP 64s,1.1,http://www.garmin.com,Garmin International,2020-01-01T04:15:24Z,30.817839,68.067123,1576.126465,2020-01-01T04:24:30Z,3,"Flag, Blue"
GPSMAP 64s,1.1,http://www.garmin.com,Garmin International,2020-01-01T04:15:24Z,30.817704,68.0673,1578.195557,2020-01-01T04:25:33Z,4,"Flag, Blue"
GPSMAP 64s,1.1,http://www.garmin.com,Garmin International,2020-01-01T04:15:24Z,30.817568,68.06822,1579.476929,2020-01-01T04:27:17Z,5,"Flag, Blue"
GPSMAP 64s,1.1,http://www.garmin.com,Garmin International,2020-01-01T04:15:24Z,30.817593,68.069067,1587.178467,2020-01-01T04:34:59Z,6,"Flag, Blue"
GPSMAP 64s,1.1,http://www.garmin.com,Garmin International,2020-01-01T04:15:24Z,30.817623,68.06986,1587.975464,2020-01-01T04:36:26Z,7,"Flag, Blue"
GPSMAP 64s,1.1,http://www.garmin.com,Garmin International,2020-01-01T04:15:24Z,30.817654,68.070728,1588.680054,2020-01-01T04:38:23Z,8,"Flag, Blue"
GPSMAP 64s,1.1,http://www.garmin.com,Garmin International,2020-01-01T04:15:24Z,30.817671,68.070732,1588.73938,2020-01-01T04:38:28Z,9,"Flag, Blue"
GPSMAP 64s,1.1,http://www.garmin.com,Garmin International,2020-01-01T04:15:24Z,30.817748,68.071589,1595.963989,2020-01-01T04:46:39Z,10,"Flag, Blue"
GPSMAP 64s,1.1,http://www.garmin.com,Garmin International,2020-01-01T04:15:24Z,30.817973,68.072379,1601.235962,2020-01-01T04:52:01Z,11,"Flag, Blue"
GPSMAP 64s,1.1,http://www.garmin.com,Garmin International,2020-01-01T04:15:24Z,30.81798,68.072391,1601.279785,2020-01-01T04:52:06Z,12,"Flag, Blue"
GPSMAP 64s,1.1,http://www.garmin.com,Garmin International,2020-01-01T04:15:24Z,30.816871,68.071609,1603.04895,2020-01-01T04:54:12Z,13,"Flag, Blue"
